gid,section,key,value,links,element_id,element_class,element_tag,parent_id,parent_class,data_url,href,company_gid_from_link
3800,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3800,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3800,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3800,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3800,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3824,meta,url,https://mininghub.com/project-profile?gid=3824,,,,,,,,,
3824,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
3824,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3824,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3824,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3824,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3824,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1565,meta,url,https://mininghub.com/project-profile?gid=1565,,,,,,,,,
1565,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
1565,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1565,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1565,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1565,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
1565,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7171,meta,url,https://mininghub.com/project-profile?gid=7171,,,,,,,,,
7171,right_sider_text,text,Company Info View on Map Company Profile Management Project News,,right-sider,,DIV,,,,,
7171,right_sider_link,company-profile-btn,Company Info,,company-profile-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7171,right_sider_link,view-on-map-btn,View on Map,,view-on-map-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7171,right_sider_link,company-news-btn,Company Profile,,company-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7171,right_sider_link,management-btn,Management,,management-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
7171,right_sider_link,project-news-btn,Project News,,project-news-btn,btn-primary btn-primary-light btn-lg btn-full,A,right-sider,,,,
3760,meta,url,https://mininghub.com/project-profile?gid=3760,,,,,,,,,
